Abbreviation,Name,Formula (neutral),Formula (charged),Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,Smiles
hisp,L-histidinol-phosphate,C6H12N3O4P,,0,,C01100,,,,
histd,L-Histidinol,C6H12N3O,,1,,C00860,,,,
hlipa,heptosyl-kdo2-lipidA,C117H210N2O45P2,,-4,,,,,,
hmbil,Hydroxymethylbilane,C40H38N4O17,,-8,,C01024,,,,
hom-L,L-Homoserine,C4H9NO3,,0,,C00263,,,,
homogentisate,homogentisate,,,0,,C00544,,,,
hpyr,Hydroxypyruvate,C3H3O4,,-1,,C00168,,,,
iasp,Iminoaspartate,C4H3NO4,,-2,,C05840,,,,
ibcoa,Isobutyryl-CoA,C25H39N7O17P3S,,-3,,C00630,,,,
ichor,Isochorismate,C10H8O6,,-2,,C00885,,,,
icit,Isocitrate,C6H5O7,,-3,,C00311,,,,
idp,IDP,C10H12N4O11P2,,-2,,C00104,,,,
ile-L,L-Isoleucine,C6H13NO2,,0,,C00407,,,,
imacp,imidazole acetol-phosphate,C6H8N2O5P,,-1,,C01267,,,,
Iminoglycine,Iminoglycine,C2H2NO2,,-1,,C15809,,,,
imp,IMP,C10H12N4O8P,,-1,,C00130,,,,
indole,indol,C8H7N,,0,,C00463,,,,
inost,L-Inositol,C6H12O6,,0,,C00137|C06151,,,,
ins,Inosine,C10H12N4O5,,0,,C00294,,,,
ipdp,Isopentenyldiphosphate,C5H10O7P2,,-2,,C00129,,,,
Isoheptadecanoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C313H548N24O255P24,,-24,,,,,,
Isoheptadecanoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted",C121H236O135P24,,-24,,,,,,
Isohexadecanoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C311H544N24O255P24,,-24,,,,,,
Isohexadecanoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted",C119H232O135P24,,-24,,,,,,
Isopentadecanoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C309H540N24O255P24,,-24,,,,,,
Isopentadecanoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted",C117H228O135P24,,-24,,,,,,
Isotetradecanoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C307H536N24O255P24,,-24,,,,,,
Isotetradecanoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted",C115H224O135P24,,-24,,,,,,
itp,ITP,C10H12N4O14P3,,-3,,C00081,,,,
ivcoa,Isovaleryl-CoA,C26H41N7O17P3S,,-3,,C02939,,,,
k,K+,K,,1,,C00238,,,,
L2aadp6sa,2-Aminoadipate 6-semialdehyde,C6H11NO3,,0,,C04076,,,,
L-2-Amino-6-oxopimelate,L-2-Amino-6-oxopimelate,C7H10NO5,,-1,,C03871,,,,
L-3-Cyanoalanine,L-3-Cyanoalanine,C4H6N2O2,,0,,C02512,,,,
lac-D,D-Lactate,C3H5O3,,-1,,C00256,,,,
lac-L,LCTT,C3H5O3,,-1,,C00186,,,,
L-alagly,L-alanylglycine,C5H10N2O3,,0,,,,,,
lald-L,L-Lactaldehyde,C3H6O2,,0,,C00424,,,,
leu-L,L-Leucine,C6H13NO2,,0,,C00123,,,,
lgt-S,(R)-S-Lactoylglutathione,C13H20N3O8S,,-1,,C03451,,,,
lipidA,Lipid A disaccharide,C68H128N2O20P,,-1,,C04932,,,,
lipidX,Lipid X,C34H65NO12P,,-1,,C04824,,,,
Lipoyl-AMP,Lipoyl-AMP,C18H25N5O8PS2,,-1,,C16238,,,,
lipt,Lipoate,C8H13O2S2,,-1,,C00725,,,,
lpam,Lipoamide,C8H15NOS2,,0,,C15972|C00248,,,,
lpro,Lipoylprotein,CHRS2,,0,,C02051,,,,
lyc,Lycopene,C40H56,,0,,C05432,,,,
lys-L,L-Lysine,C6H15N2O2,,1,,C00047|C16440,,,,
malACP,Malonyl-acyl-carrierprotein-,C14H22N2O10PRS,,-2,,C01209,,,,
malcoa,Malonyl-CoA,C24H34N7O19P3S,,-4,,C00083,,,,
mal-L,L-Malate,C4H4O5,,-2,,C00711|C00149,,,,
malt,Maltose,C12H22O11,,0,,C00208,,,,
malthp,Maltoheptaose,C42H72O36,,0,,,,,,
malthx,Maltohexaose,C36H62O31,,0,,C01936,,,,
maltpt,Maltopentaose,C30H52O26,,0,,,,,,
malttr,Amylotriose,C18H32O16,,0,,C01835,,,,
maltttr,Maltotetraose,C24H42O21,,0,,C02052,,,,
man1p,D-Mannose1-phosphate,C6H12O9P,,-1,,C00636,,,,
man6p,D-Mannose6-phosphate,C6H12O9P,,-1,,C00275,,,,
met-D,D-Methionine,C5H11NO2S,,0,,C00855,,,,
methf,5-10-Methenyltetrahydrofolate,C20H20N7O6,,-1,,C00445,,,,
met-L,L-Methionine,C5H11NO2S,,0,,C00073|C01733,,,,
met-L-ala-L,met-L-ala-L,C8H15N2O3S,,-1,,,,,,
metox,L-Methionine S-oxide,C5H11NO3S,,0,,C02989,,,,
metox-R,L-methionine R-oxide,C5H11NO3S,,0,,,,,,
mg2,Mg,Mg,,2,,C00305,,,,
Mg-Protoporphyrin IX 13-monomethyl ester,Mg-Protoporphyrin IX 13-monomethyl ester,C35H33N4O4Mg,,0,,C04536,,,,
mi1p-D,Inositol 1-phosphate,C6H12O9P,,-1,,C01177,,,,
mi3p-D,Inositol 3-phosphate,C6H12O9P,,-1,,C04006,,,,
mi4p-D,Inositol 4-phosphate,C6H12O9P,,-1,,C03546,,,,
mlthf,"5,10-Methylene-THF",C20H21N7O6,,-2,,C00143,,,,
mn2,Mn2+,Mn,,2,,C00034,,,,
mobd,Molybdate,H2MoO4,,0,,C06232,,,,
mppp9,Mg-protoporphyrin IX,C34H30N4O4Mg,,-1,,C03516,,,,
mql8,Menaquinol 8,C51H74O2,,0,,,,,,
mqn8,Menaquinone 8,C51H72O2,,0,,,,,,
msbq,"2-Methyl-6-Solanyl-1,4-benzoquinol",,,0,,C17570,,,,
mthgxl,2-Oxopropanal,C3H4O2,,0,,C00546,,,,
Myristoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C307H536N24O255P24,,-24,,,,,,
Myristoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Myristoyllipoteichoic acid (n=24), linked, unsubstituted",C115H224O135P24,,-24,,,,,,
myrsACP,Myristoyl-ACP,C25H47N2O8PRS,,-1,,C05761,,,,
na1,Na+,Na,,1,,C01330,,,,
nac,Niacin,C6H4NO2,,-1,,C00253,,,,
nad,NAD,C21H26N7O14P2,,-1,,C00003,,,,
nadh,NADH,C21H27N7O14P2,,-2,,C00004,,,,
nadp,NADP,C21H26N7O17P3,,-2,,C00006,,,,
nadph,NADPH,C21H27N7O17P3,,-3,,C00005,,,,
NADPH2,,,,-4,,,,,,
ncam,Nicotinamide,C6H6N2O,,0,,C00153,,,,
Ncarbsar,N-Carbamoylsarcosine,C4H7N2O3,,-1,,C01043,,,,
nh4,NH3,H4N,,1,,C01342|C00014,,,,
nickel2,Ni2+,Ni,,2,,C00291,,,,
Nicotinate D-ribonucleoside,Nicotinate D-ribonucleoside,C11H13NO6,,0,,C05841,,,,
nicrnt,Nicotinate ribonucleotide,C11H13NO9P,,-1,,C01185,,,,
Nmimzd24d,N-Methylhydantoin,C4H6N2O2,,0,,C02565,,,,
nmn,NMN,C11H15N2O8P,,0,,C00455,,,,
nndp,Nonaprenyl-PP/Solanesyl-PP,,,-2,,C04145,,,,
no2,Nitrite,NO2,,-1,,C00088,,,,
no3,Nitrate,NO3,,-1,,C00244,,,,
nspr,Neurosporene,C40H58,,0,,C05431,,,,
o2,O2,O2,,0,,C00007,,,,
o2s,O2-,HO2,,0,,C00704,,,,
oaa,Oxaloacetate,C4H2O5,,-2,,C00036,,,,
ocdACP,Octadecanoyl-ACP,C29H55N2O8PRS,,-1,,,,,,
ocdca,ocdca,C18H35O2,,-1,,C01530,,,,
ocdcea,octadecenoate,C18H33O2,,-1,,,,,,
octACP,Octanoyl-ACP,C19H35N2O8PRS,,-1,,C05752,,,,
OCTAPRENYL-METHYL-OH-METHOXY-BENZQ,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C48H71O4,,-1,,C05815,,,,
octdp,Farnesylfarnesylgeraniol,C40H66O7P2,,-2,,C04146,,,,
octeACP,Octadecenoyl-ACP,C29H53N2O8PRS,,-1,,C01203,,,,
Octodecanoyl-ACP,Octodecanoyl-ACP,C29H55N2O8PRS,,-1,,,,,,
odecoa,Octadecenoyl-CoA,C39H65N7O17P3S,,-3,,,,,,
orn,Ornithine,C5H13N2O2,,1,,C00077|C01602,,,,
orot,Orotate,C5H3N2O4,,-1,,C00295,,,,
orot5p,Orotidylic acid,C10H11N2O11P,,-2,,C01103,,,,
oxasucc,Oxalosuccinate,C6H3O7,,-3,,C05379,,,,
pa120,"1,2-didodecanoyl-sn-glycerol 3-phosphate",C27H52O8P,,-1,,,,,,
pa140,"1,2-ditetradecanoyl-sn-glycerol 3-phosphate",C31H60O8P,,-1,,,,,,
pa141,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",C31H56O8P,,-1,,,,,,
pa160,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate",C35H68O8P,,-1,,,,,,
pa161,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",C35H64O8P,,-1,,,,,,
pa180,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",C39H76O8P,,-1,,,,,,
pa181,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",C39H72O8P,,-1,,,,,,
palmACP,Palmitoyl-ACP,C27H51N2O8PRS,,-1,,,,,,
Palmitoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C311H544N24O255P24,,-24,,,,,,
Palmitoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Palmitoyllipoteichoic acid (n=24), linked, unsubstituted",C119H232O135P24,,-24,,,,,,
pan4p,Phosphopantetheine,C11H22N2O7PS,,-1,,C01134,,,,
pant-R,Pantoate,C6H11O4,,-1,,C00522,,,,
pap,Adenosine 3-5-bisphosphate,C10H13N5O10P2,,-2,,C00054,,,,
paps,3-phosphoadenylylsulfate,C10H12N5O13P2S,,-3,,C00053,,,,
Pb,Pb,Pb,,2,,C06696,,,,
PC,Plastocyanin,,,0,,,,,,
PC,,,,0,,,,,,
PC*,,,,-1,,,,,,
pdx5p,Pyridoxine phosphate,C8H11NO6P,,-1,,C00627,,,,
pendp,pendp,C25H42O7P2,,-2,,C04217,,,,
pep,PEP,C3H3O6P,,-2,,C00074,,,,
Peptide-L-methionine,Peptide-L-methionine,C6H10N2O2R2S,,0,,C03023,,,,
Peptide-L-methionine (R)-S-oxide,Peptide-L-methionine (R)-S-oxide,C6H10N2O3R2S,,0,,C15653,,,,
Peptidoglycan polymer (n subunits),Peptidoglycan polymer (n subunits),C80H125N16O42R,,-4,,,,,,
Peptidoglycan polymer (n-1 subunits),Peptidoglycan polymer (n-1 subunits),C40H63N8O21R,,-2,,,,,,
pgp120,Phosphatidylglycerophosphate didodecanoyl,C30H58O13P2,,-2,,,,,,
pgp140,Phosphatidylglycerophosphate ditetradecanoyl,C34H66O13P2,,-2,,,,,,
pgp141,Phosphatidylglycerophosphate ditetradec-7-enoyl,C34H62O13P2,,-2,,,,,,
pgp160,Phosphatidylglycerophosphate dihexadecanoyl,C38H74O13P2,,-2,,,,,,
pgp161,Phosphatidylglycerophosphate dihexadec-9-enoyl,C38H70O13P2,,-2,,,,,,
pgp180,Phosphatidylglycerophosphate dioctadecanoyl,C42H82O13P2,,-2,,,,,,
pgp181,Phosphatidylglycerophosphate dioctadec-11-enoyl,C42H78O13P2,,-2,,,,,,
phe-L,L-Phenylalanine,C9H11NO2,,0,,C00079,,,,
pheme,Heme,C34H30FeN4O4,,-2,,C00032,,,,
phom,O-Phospho-L-homoserine,C4H9NO6P,,-1,,C01102,,,,
photonI,photonI,,,0,,,,,,
photonII,photonII,,,0,,,,,,
phpyr,Phenylpyruvate,C9H7O3,,-1,,C00166,,,,
phthr,4-(Phosphonooxy)-threonine,C4H9NO7P,,-1,,C06055,,,,
Phytoene,Phytoene,C40H64,,0,,C05413,,,,
Phytyl diphosphate,Phytyl diphosphate,C20H40O7P2,,-2,,C05427,,,,
pi,Phosphate,HO4P,,-2,,C00009,,,,
pmcoa,Pimeloyl-CoA,C28H42N7O19P3S,,-4,,C01063,,,,
pmtcoa,Palmitoyl-CoA,C37H63N7O17P3S,,-3,,C00154,,,,
PNP,PNP,C6H5NO3,,0,,C00870,,,,
pnto-R,PAN,C9H16NO5,,-1,,C00864,,,,
ppa,Propionate,C3H5O2,,-1,,C00163,,,,
ppbng,Porphobilinogen,C10H13N2O4,,-1,,C00931,,,,
ppcoa,Propionyl-CoA,C24H37N7O17P3S,,-3,,C00100,,,,
pphn,Prephenate,C10H8O6,,-2,,C00254,,,,
ppi,PPi,H2O7P2,,-2,,C00013,,,,
ppp9,Protoporphyrin,C34H32N4O4,,-2,,C02191,,,,
pppg9,ProtoporphyrinogenIX,C34H38N4O4,,-2,,C01079,,,,
pppi,Triphosphate,HO10P3,,-4,,C00536,,,,
PQ,thylac_plastoquinone,C53H80O2,,0,,C10385,,,,
PQH2,thylac_plastoquinol,C53H82O2,,0,,,,,,
pram,5-Phosphoribosylamine,C5H12NO7P,,0,,C03090,,,,
pran,N-5-phosphoribosyl-anthranilate,C12H14NO9P,,-2,,C04302,,,,
prbamp,Phosphoribosyl-AMP,C15H21N5O14P2,,-2,,C02741,,,,
prbatp,Phosphoribosyl-ATP,C15H21N5O20P4,,-4,,C02739,,,,
pre2,Precorrin 2,C42H40N4O16,,-8,,C02463,,,,
pre6b,Precorrin 6B,C44H49N4O16,,-7,,C06319,,,,
pre8,Precorrin 8,C45H53N4O14,,-7,,C06408,,,,
Prephytoene diphosphate,Prephytoene diphosphate,C40H66O7P2,,-2,,C03427,,,,
prfp,phosphoribosylformiminoaicar-phosphate,C15H23N5O15P2,,-2,,C04896,,,,
prlp,phosphoribulosylformimino-AICAR-phosphate,C15H23N5O15P2,,-2,,C04916,,,,
pro-L,L-Proline,C5H8NO2,,-1,,C00148,,,,
Propionyladenylate,Propionyladenylate,C13H17N5O8P,,-1,,C05983,,,,
proteinsynth,Protein biosynthesis,,,0,,,,,,
Protochlorophyllide,Protochlorophyllide,C35H30N4O5Mg,,-1,,C02880,,,,
prpp,PRPP,C5H10O14P3,,-3,,C00119,,,,
psd5p,Pseudouridine 5'-phosphate,C9H12N2O9P,,-1,,C01168,,,,
pser-L,O-Phospho-L-serine,C3H6NO6P,,-2,,C01005,,,,
PSI,PSI,,,0,,,,,,
PSI*,PSI*,,,-1,,,,,,
PSII,PSII,,,0,,,,,,
PSII*,PSII*,,,-1,,,,,,
ptrc,Putrescine,C4H14N2,,2,,C00134,,,,
pyam5p,Pyridoxamine phosphate,C8H13N2O5P,,0,,C00647,,,,
pydx5p,Pyridoxal phosphate,C8H9NO6P,,-1,,C00018,,,,
pyf,Phytofluene,C40H62,,0,,C05414,,,,
pyr,Pyruvate,C3H3O3,,-1,,C00022,,,,
q8,Ubiquinone-8,C49H74O4,,0,,C17569,,,,
q8h2,Ubiquinol-8,C49H76O4,,0,,,,,,
quln,Quinolinate,C7H3NO4,,-2,,C03722,,,,
r5p,ribose-5-phosphate,C5H10O8P,,-1,,C03736|C00117,,,,
rb15bp,"D-Ribulose 1,5-bisphosphate",C5H10O11P2,,-2,,C01182,,,,
rdmbzi,alpha-Ribazole,C14H18N2O4,,0,,C05775,,,,
ribflv,RIBF,C17H20N4O6,,0,,C00255,,,,
rnam,N-Ribosylnicotinamide,C11H15N2O5,,1,,C03150,,,,
rnatrans,RNA transcription,,,0,,,,,,
ru5p-D,D-Ribulose5-phosphate,C5H10O8P,,-1,,C00199,,,,
s,S,S,,0,,C00087,,,,
s17bp,"Sedoheptulose 1,7-bisphosphate",C7H14O13P2,,-2,,C00447,,,,
s7p,Sedoheptulose7-phosphate,C7H14O10P,,-1,,C05382,,,,
sbzcoa,Succinylbenzoyl-CoA,C32H40N7O20P3S,,-4,,C03160,,,,
scl,Sirohydrochlorin,C42H38N4O16,,-8,,C05778,,,,
seln,Selenide,H2Se,,0,,C01528,,,,
selnp,Selenophosphate,HO3PSe,,-2,,C05172,,,,
ser-L,L-Serine,C3H7NO3,,0,,C00716|C00065,,,,
skm,Shikimate,C7H9O5,,-1,,C00493,,,,
skm5p,3-phosphoshikimate,C7H9O8P,,-2,,C03175,,,,
sl26da,"N-Succinyl-LL-2,6-diaminoheptanedioate",C11H16N2O7,,-2,,C04421,,,,
sl2a6o,N-Succinyl-2-L-amino-6-oxoheptanedioate,C11H12NO8,,-3,,C04462,,,,
so3,Sulfite,HO3S,,-1,,C00094|C11481,,,,
so4,Sulfate,O4S,,-2,,C00059,,,,
spmd,Spermidine,C7H22N3,,3,,C00315,,,,
stcoa,strcoa,C39H67N7O17P3S,,-3,,C00412,,,,
Stearoyllipoteichoic acid (n=24)_ linked_ N-acetyl-D-glucosamine,"Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",C315H552N24O255P24,,-24,,,,,,
Stearoyllipoteichoic acid (n=24)_ linked_ unsubstituted,"Stearoyllipoteichoic acid (n=24), linked, unsubstituted",C123H240O135P24,,-24,,,,,,
suc6p,Sucrose 6-phosphate,C12H21O14P,,-2,,C02591,,,,
sucbz,Succinylbenzoate,C11H8O5,,-2,,C02730,,,,
succ,Succinate,C4H4O4,,-2,,C00042,,,,
succoa,Succinyl-CoA,C25H36N7O19P3S,,-4,,C00091,,,,
sucr,Sucrose,C12H22O11,,0,,C00089,,,,
sucsal,4-Oxobutanoate,C4H5O3,,-1,,C00232,,,,
tag6p-D,D-Tagatose 6-phosphate,C6H12O9P,,-1,,C01097,,,,
tagdp-D,"D-Tagatose 1,6-biphosphate",C6H12O12P2,,-2,,C03785,,,,
tcggrpp,"trans,trans,cis-Geranylgeranyl diphosphate",C20H34O7P2,,-2,,C11356,,,,
tdcoa,Myristoyl-CoA,C35H59N7O17P3S,,-3,,C02593,,,,
tdeACP,Tetradecenoyl-ACP,C25H45N2O8PRS,,-1,,,,,,
thdp,tetrahydrodipicolinate,C7H7NO4,,-2,,C03972,,,,
thf,THF,C19H21N7O6,,-2,,C00101,,,,
thfglu,THF-L-glutamate,C24H27N8O9,,-3,,C03541|C09332,,,,
thmmp,TMP,C12H17N4O4PS,,0,,C01081,,,,
thmpp,TPP,C12H17N4O7P2S,,-1,,C00068,,,,
thp2c,delta1-Piperideine-6-L-carboxylate,C6H8NO2,,-1,,C00450,,,,
thr-L,threonine,C4H9NO3,,0,,C00188,,,,
thymd,Thymidine,C10H14N2O5,,0,,C00214,,,,
tmrs2eACP,(2E)-Tetradecenoyl-[acp],C25H45N2O8PRS,,-1,,C05760,,,,
tpalm2eACP,(2E)-Hexadecenoyl-[acp],C27H49N2O8PRS,,-1,,C05763,,,,
trans-Octodec-2-enoyl-ACP,trans-Octodec-2-enoyl-ACP,C29H53N2O8PRS,,-1,,C16221,,,,
trdox,trdox,C6H7NO2R2S2,,0,,C00343,,,,
trdrd,trdrd,C6H9NO2R2S2,,0,,C00342,,,,
tre6p,Trehalose 6-phosphate,C12H22O14P,,-1,,C00689,,,,
trnaglu,tRNA-Glu,C10H12N5O3R,,0,,C01641,,,,
trp-L,L-Tryptophan,C11H12N2O2,,0,,C00078|C00806,,,,
tsul,H2S2O3,O3S2,,-2,,C05529|C00320,,,,
ttdca,Myristic acid,C14H27O2,,-1,,C06424,,,,
tyr-L,L-Tyrosine,C9H11NO3,,0,,C00082|C01536,,,,
u23ga,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine",C43H75N3O20P2,,-2,,C04652,,,,
u3aga,UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine,C31H51N3O19P2,,-2,,C04738,,,,
u3hga,UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine,C29H50N3O18P2,,-1,,C06022,,,,
uaaAgla,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C94H153N8O26P2,,-3,,,,,,
uaaAgtla,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine,C94H155N9O25P2,,-2,,,,,,
uaaGgla,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C94H153N8O26P2,,-3,,C05893,,,,
uaaGgtla,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C94H155N9O25P2,,-2,,C05894,,,,
uaagmda,Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala,C95H152N8O28P2,,-4,,C05898,,,,
uaagtmda,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C95H154N9O27P2,,-3,,,,,,
uaccg,UDP-N-acetylglucosamine enolpyruvate,C20H26N3O19P2,,-3,,C04631,,,,
uacgala,UDP-N-acetyl-D-galactosamine,C17H25N3O17P2,,-2,,C00203,,,,
uacgam,UDP-N-acetylglucosamine,C17H25N3O17P2,,-2,,C00043,,,,
uacmam,UDP-N-acetyl-D-mannosamine,C17H25N3O17P2,,-2,,C01170,,,,
uaGgla,MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol,C86H140N7O21P2,,-3,,C04851,,,,
uagmda,Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine,C87H139N7O23P2,,-4,,C05897,,,,
uama,UDP-N-acetylmuramoyl-L-alanine,C23H33N4O20P2,,-3,,C01212,,,,
uamag,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C28H39N5O23P2,,-4,,C00692,,,,
uamr,UDP-MurNAc,C20H28N3O19P2,,-3,,C01050,,,,
udcpdp,Bactoprenyl diphosphate,C55H90O7P2,,-2,,C04574,,,,
udcpp,Undecaprenylphosphate,C55H90O4P,,-1,,C17556|C00348,,,,
udp,UDP,C9H12N2O12P2,,-2,,C00015,,,,
udpg,UDP-glucose,C15H22N2O17P2,,-2,,C00029,,,,
udpgal,UDP-galactose,C15H22N2O17P2,,-2,,C00052,,,,
udpglcur,UDPglucuronate,C15H19N2O18P2,,-3,,C00167,,,,
udpsq,UDP-6-sulfoquinovose,C15H21N2O19P2S,,-3,,C11521,,,,
uGgla,UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala),C40H62N9O26P2,,-3,,C04702,,,,
ugmd,UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate,C35H51N7O26P2,,-4,,C04877,,,,
ugmda,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine,C41H61N9O28P2,,-4,,C04882,,,,
ump,UMP,C9H12N2O9P,,-1,,C00105,,,,
unaga,Undecaprenyl diphospho N-acetyl-glucosamine,C63H103NO12P2,,-2,,C01289,,,,
uppg1,UroporphyrinogenI,C40H36N4O16,,-8,,C05766,,,,
uppg3,UroporphyrinogenIII,C40H36N4O16,,-8,,C01051,,,,
ura,Uracil,C4H4N2O2,,0,,C00106,,,,
urea,Urea,CH4N2O,,0,,C00086,,,,
uri,Uridine,C9H12N2O6,,0,,C00299,,,,
utp,UTP,C9H12N2O15P3,,-3,,C00075,,,,
val-L,L-Valine,C5H11NO2,,0,,C00183,,,,
Vitamin B12,Vitamin B12,C61H86CoN13O14PR,,6,,C05776,,,,
Vitamin K1,Vitamin K1,C31H46O2,,0,,C02059,,,,
xmp,XMP,C10H12N4O9P,,-1,,C00655,,,,
xtp,XTP,C10H12N4O15P3,,-3,,C00700,,,,
xtsn,Xanthosine,C10H12N4O6,,0,,C01762,,,,
xu5p-D,D-Xylulose5-phosphate,C5H10O8P,,-1,,C00231,,,,
zcar,zeta-Carotene,C40H60,,0,,C05430,,,,
zn2,Zn2+,Zn,,2,,C00038,,,,
